 Ano; Código da Área; Área de Avaliação; Código da IES; Nome da IES; Sigla da IES; Organização Acadêmica; Categoria Administrativa; Código do Curso; Modalidade de Ensino; Código do Município; Município do Curso; Sigla da UF; Nº de Concluintes Inscritos; Nº de Concluintes Participantes; Nota Bruta - FG; Nota Padronizada - FG; Nota Bruta - CE; Nota Padronizada - CE; Conceito Enade (Contínuo); Concluintes participantes com nota no Enem; Proporção de concluintes participantes com nota no Enem; Nota Bruta - IDD; Nota Padronizada - IDD; Nota Bruta – Organização Didático-Pedagógica; Nota Padronizada - Organização Didático-Pedagógica; Nota Bruta – Infraestrutura e Instalações Físicas; Nota Padronizada - Infraestrutura e Instalações Físicas; Nota Bruta – Oportunidade de Ampliação da Formação; Nota Padronizada - Oportunidade de Ampliação da Formação; Nota Bruta - Mestres; Nota Padronizada - Mestres; Nota Bruta - Doutores; Nota Padronizada - Doutores; Nota Bruta – Regime de Trabalho; Nota Padronizada - Regime de Trabalho; CPC (Contínuo); CPC (Faixa);Observação
2019;36;FISIOTERAPIA;2150;FACULDADE DO PIAUÍ;FAPI;Faculdade;Privada com fins lucrativos;98766;Educação Presencial;2211001;Teresina;PI;26;23;33,773;1,639;32,456;1,4319;1,483;19;0,826;-1,673;1,592;5,813;4,293;5,775;4,421;5,294;3,812;0,833;3,333;0,166;0,833;0,555;1,613;1,988;3;
2019;36;FISIOTERAPIA;2158;FACULDADE SANTA MARIA;FSM;Faculdade;Privada com fins lucrativos;81351;Educação Presencial;2503704;Cajazeiras;PB;35;34;34,435;1,737;34,97;1,8454;1,818;32;0,941;-0,064;2,537;5,644;3,652;5,565;3,879;5,434;4,047;0,74;2,407;0,074;0,37;1;5;2,431;3;
2019;36;FISIOTERAPIA;2175;CENTRO UNIVERSITÁRIO DANTE;;Centro Universitário;Privada com fins lucrativos;1059329;Educação Presencial;4202404;Blumenau;SC;28;27;34,325;1,721;37,811;2,3126;2,164;17;0,629;1,032;3,181;5,845;4,412;5,448;3,578;4,936;3,208;0,875;3,75;0,687;3,437;1;5;3,308;4;
2019;36;FISIOTERAPIA;2191;FACULDADE ANHANGUERA DE PELOTAS;;Faculdade;Privada com fins lucrativos;1205524;Educação Presencial;4314407;Pelotas;RS;139;135;30,478;1,148;33,808;1,6543;1,527;114;0,844;-0,269;2,417;5,013;1,259;4,822;1,963;3,555;0,883;0,852;3,529;0,588;2,941;0,882;4,103;2,379;3;
2019;36;FISIOTERAPIA;2194;FACULDADE ANHANGUERA DO RIO GRANDE;;Faculdade;Privada com fins lucrativos;104382;Educação Presencial;4315602;Rio Grande;RS;45;40;28,522;0,856;32,875;1,5008;1,339;33;0,824;-1,594;1,638;4,794;0,429;4,637;1,487;3,401;0,623;0,714;2,142;0,571;2,857;0,964;4,727;1,907;2;
2019;36;FISIOTERAPIA;2242;FACULDADE DO RECIFE;FAREC;Faculdade;Privada com fins lucrativos;99210;Educação Presencial;2611606;Recife;PE;24;18;39,577;2,504;37,327;2,2331;2,3;15;0,833;-0,929;2,029;5,356;2,559;4,946;2,284;4,616;2,67;0,833;3,333;0,166;0,833;0,833;3,73;2,198;3;
2019;36;FISIOTERAPIA;2244;FACULDADE DA CIDADE DE MACEIÓ;FACIMA;Faculdade;Privada com fins lucrativos;99619;Educação Presencial;2704302;Maceió;AL;26;26;37,942;2,26;35,68;1,9622;2,036;19;0,73;-0,067;2,535;5,501;3,11;5,582;3,923;4,777;2,941;0,473;0;0,105;0,526;0,894;4,197;2,191;3;
2019;36;FISIOTERAPIA;2279;Centro Universitário Metrocamp Wyden;UniMetrocamp Wyden;Centro Universitário;Privada com fins lucrativos;58999;Educação Presencial;3509502;Campinas;SP;84;71;36,145;1,992;36,738;2,1361;2,1;48;0,676;-0,22;2,445;5,535;3,238;5,016;2,463;4,885;3,123;1;5;0,464;2,321;1;5;2,818;3;
2019;36;FISIOTERAPIA;2324;FACULDADE UNIÃO BANDEIRANTE;;Faculdade;Privada com fins lucrativos;1058962;Educação Presencial;4216602;São José;SC;20;19;38,289;2,312;33,542;1,6105;1,785;12;0,631;-2,181;1,293;4,957;1,047;4,393;0,858;3,792;1,282;0,814;3,148;0,518;2,592;0,851;3,871;1,878;2;
2019;36;FISIOTERAPIA;2336;CENTRO UNIVERSITÁRIO MONTES BELOS;;Centro Universitário;Privada com fins lucrativos;96363;Educação Presencial;5220108;São Luís de Montes Belos;GO;26;25;32,808;1,495;34,156;1,7115;1,657;23;0,92;-0,604;2,22;5,319;2,42;4,778;1,851;5,1;3,485;1;5;0,75;3,75;1;5;2,782;3;
2019;36;FISIOTERAPIA;2409;CENTRO UNIVERSITÁRIO TABOSA DE ALMEIDA;ASCES-UNITA;Centro Universitário;Privada sem fins lucrativos;67261;Educação Presencial;2604106;Caruaru;PE;40;39;36,979;2,116;44,097;3,3466;3,039;39;1;0,558;2,902;5,782;4,176;5,766;4,397;5,645;4,402;0,92;4,2;0,32;1,6;0,64;2,257;2,991;4;
2019;36;FISIOTERAPIA;2413;FACULDADE DE ENSINO SUPERIOR DE FLORIANO;FAESF;Faculdade;Privada com fins lucrativos;94215;Educação Presencial;2203909;Floriano;PI;16;16;36,262;2,01;31,612;1,2931;1,472;16;1;-0,867;2,065;5,704;3,879;5,611;3,997;5,239;3,719;0,727;2,272;0,09;0,454;1;5;2,214;3;
2019;36;FISIOTERAPIA;2420;FACULDADE PARANAENSE;FAPAR;Faculdade;Privada com fins lucrativos;5000215;Educação Presencial;4106902;Curitiba;PR;38;28;38,135;2,289;37,017;2,1822;2,208;23;0,821;-0,602;2,221;4,949;1,018;4,368;0,793;3,089;0,098;0,818;3,181;0,09;0,454;1;5;2,019;3;
2019;36;FISIOTERAPIA;2437;FACULDADE PITÁGORAS DE TEIXEIRA DE FREITAS;PIT TEIXEIRA;Faculdade;Privada com fins lucrativos;1193190;Educação Presencial;2931350;Teixeira de Freitas;BA;36;31;39,283;2,46;34,845;1,8248;1,983;29;0,935;-0,268;2,417;5,029;1,32;5,019;2,472;4,375;2,263;0,566;0,666;0,4;2;0,9;4,238;2,189;3;
2019;36;FISIOTERAPIA;2440;FACULDADE CIDADE DE JOÃO PINHEIRO;FCJP;Faculdade;Privada sem fins lucrativos;54239;Educação Presencial;3136306;João Pinheiro;MG;25;24;28,445;0,845;31,425;1,2623;1,158;22;0,916;-1,008;1,982;5,557;3,321;5,57;3,891;5,112;3,505;0,625;1,25;0,25;1,25;0,687;2,619;1,934;2;
2019;36;FISIOTERAPIA;2469;INSTITUTO MACAPAENSE DE ENSINO SUPERIOR;IMMES;Faculdade;Privada com fins lucrativos;88970;Educação Presencial;1600303;Macapá;AP;28;26;28,757;0,891;31,196;1,2246;1,141;21;0,807;-0,835;2,084;5,348;2,531;4,24;0,464;3,708;1,14;0,222;0;0;0;0,111;0;1,199;2;
2019;36;FISIOTERAPIA;2470;INSTITUTO SALVADOR DE ENSINO E CULTURA;ISEC;Faculdade;Privada com fins lucrativos;99615;Educação Presencial;2927408;Salvador;BA;10;10;42,6;2,954;39,86;2,6496;2,725;7;0,699;2,887;4,27;5,72;3,942;5,459;3,607;5,533;4,214;0,636;1,363;0,181;0,909;1;5;3,234;4;
2019;36;FISIOTERAPIA;2494;FUNVIC - FACULDADE DE PINDAMONHANGABA;;Faculdade;Privada sem fins lucrativos;71589;Educação Presencial;3538006;Pindamonhangaba;SP;52;52;36,925;2,108;38,251;2,3851;2,316;43;0,826;-0,108;2,511;5,593;3,459;5,365;3,363;5,342;3,892;0,833;3,333;0,541;2,708;0,958;4,682;2,874;3;
